age,gender,income,credit_score,transaction_amount,merchant_category,merchant_country,merchant_city,transaction_time,label
36,F,71682,479,1485,Grocery,Canada,Mexico City,21,0.0
19,F,23150,764,7258,Entertainment,USA,Mexico City,3,0.0
35,M,44212,884,2509,Gas,USA,Mexico City,13,0.0
50,M,63019,352,3931,Grocery,USA,Toronto,22,0.0
26,M,49121,594,9860,Restaurants,Canada,Mexico City,21,0.0
27,F,8115,524,6992,Gas,USA,Mexico City,15,0.0
20,F,55493,642,562,Gas,Mexico,Vancouver,23,0.0
57,F,51274,739,9944,Grocery,Canada,Mexico City,11,0.0
42,F,1712,348,8613,Gas,Canada,New York,11,0.0
22,M,24451,758,3114,Grocery,USA,Vancouver,18,0.0
35,F,82040,769,4586,Restaurants,USA,Mexico City,7,0.0
25,F,88299,382,6021,Gas,USA,Los Angeles,3,0.0
18,F,44486,876,1227,Restaurants,Mexico,New York,13,0.0
60,M,84787,649,8590,Grocery,USA,New York,20,0.0
36,F,9354,545,1584,Entertainment,USA,Vancouver,5,0.0
42,F,75466,620,6289,Restaurants,Mexico,Mexico City,18,0.0
48,M,59349,583,2443,Entertainment,USA,New York,20,0.0
30,M,47015,533,5373,Entertainment,Canada,Vancouver,18,0.0
48,M,69474,835,8973,Restaurants,Canada,Vancouver,9,0.0
38,F,14942,676,9563,Entertainment,USA,New York,23,0.0
65,F,50808,324,5826,Restaurants,Canada,New York,1,0.0
34,F,5607,768,5287,Restaurants,Mexico,Toronto,17,0.0
59,M,16737,791,4648,Gas,USA,Los Angeles,14,0.0
23,M,54551,610,6851,Restaurants,USA,New York,1,0.0
50,M,47032,468,9364,Grocery,USA,Los Angeles,21,0.0
33,M,33577,430,2571,Grocery,Mexico,New York,15,0.0
48,F,1359,779,4636,Entertainment,USA,Los Angeles,7,0.0
23,F,13138,830,4401,Gas,Mexico,New York,5,0.0
51,M,54932,799,9052,Gas,Canada,Mexico City,6,0.0
40,M,99751,564,3853,Restaurants,Canada,Vancouver,20,0.0
69,F,80511,796,9143,Gas,USA,Mexico City,15,0.0
67,F,38156,657,5729,Restaurants,Canada,Los Angeles,23,0.0
24,F,49377,854,7199,Gas,Mexico,Los Angeles,16,0.0
36,F,36873,401,7085,Restaurants,Mexico,Los Angeles,18,0.0
64,M,81392,834,9269,Restaurants,USA,New York,20,0.0
49,F,86697,885,7152,Grocery,Canada,Mexico City,13,0.0
54,M,37122,836,5792,Gas,USA,New York,13,0.0
30,F,7120,401,2228,Restaurants,USA,Mexico City,23,0.0
61,F,89306,461,9542,Restaurants,Mexico,Los Angeles,10,0.0
39,M,93752,312,5075,Restaurants,Canada,Los Angeles,8,0.0
35,F,42925,707,1801,Entertainment,Canada,Mexico City,3,0.0
53,F,47819,834,149,Grocery,USA,Vancouver,8,0.0
51,M,22175,799,5363,Restaurants,USA,New York,3,0.0
27,F,84919,855,4938,Entertainment,USA,Vancouver,13,0.0
44,F,80075,702,4731,Gas,Mexico,Los Angeles,5,0.0
52,F,86696,609,1256,Grocery,Mexico,Mexico City,19,0.0
24,M,11875,331,291,Grocery,USA,Toronto,15,0.0
58,M,39799,603,3315,Restaurants,USA,Mexico City,3,0.0
64,F,87278,570,3065,Entertainment,USA,Toronto,6,0.0
23,M,2862,593,4029,Gas,Mexico,Los Angeles,17,0.0
32,M,2905,508,2508,Gas,Canada,Vancouver,6,0.0
39,F,11272,867,9721,Grocery,USA,Toronto,5,0.0
22,F,7125,441,9609,Restaurants,USA,New York,7,0.0
21,F,70039,305,2372,Gas,Canada,Los Angeles,11,0.0
39,M,77675,394,8187,Restaurants,Mexico,Toronto,8,0.0
42,M,54947,896,5138,Gas,Mexico,Los Angeles,13,0.0
62,M,96419,476,2082,Grocery,Canada,New York,1,0.0
41,F,17495,787,290,Grocery,USA,Vancouver,21,0.0
20,M,77702,453,2867,Grocery,Canada,Los Angeles,21,0.0
35,F,24191,448,2526,Grocery,Canada,Toronto,15,0.0
42,F,86611,312,5330,Entertainment,Canada,New York,4,0.0
43,F,54469,834,5600,Restaurants,Mexico,Mexico City,7,0.0
21,F,97924,424,8388,Entertainment,Canada,Mexico City,19,0.0
55,F,84443,819,2132,Grocery,USA,Mexico City,4,0.0
36,M,39397,499,2389,Gas,Canada,Los Angeles,11,0.0
22,F,86475,854,8714,Restaurants,Mexico,Los Angeles,16,0.0
24,M,91075,629,9065,Grocery,Mexico,New York,0,0.0
69,M,87731,329,4527,Gas,Mexico,Toronto,17,0.0
24,M,99689,312,7860,Gas,USA,Vancouver,10,0.0
25,F,46466,452,3071,Gas,Canada,Toronto,0,0.0
66,F,94614,789,7120,Gas,Mexico,Los Angeles,8,0.0
31,M,89687,611,4599,Entertainment,USA,Toronto,21,0.0
56,M,63759,752,2894,Entertainment,USA,Vancouver,0,0.0
22,F,43555,635,3258,Grocery,Mexico,New York,5,0.0
46,F,98279,545,2820,Grocery,Canada,New York,18,0.0
49,F,97549,578,3478,Restaurants,USA,New York,23,0.0
32,M,65201,470,3981,Restaurants,USA,Los Angeles,15,0.0
27,F,3888,717,9133,Gas,Canada,Los Angeles,10,0.0
26,M,97953,896,7239,Grocery,Canada,Los Angeles,8,0.0
66,F,84807,612,6703,Entertainment,USA,Toronto,23,0.0
64,M,44042,641,3123,Restaurants,Canada,Mexico City,16,0.0
63,F,38179,749,3542,Entertainment,USA,Vancouver,19,0.0
66,M,34543,879,8733,Entertainment,Canada,Vancouver,12,0.0
22,M,20810,681,4165,Grocery,USA,Toronto,13,0.0
28,M,83302,628,3704,Restaurants,Mexico,Toronto,16,0.0
24,M,43884,343,4260,Entertainment,USA,Los Angeles,3,0.0
37,M,61554,700,3373,Gas,Canada,Toronto,15,0.0
28,F,62415,535,6854,Gas,USA,New York,17,0.0
39,M,45390,683,9998,Gas,USA,Vancouver,20,0.0
22,M,89017,599,7715,Grocery,Canada,Vancouver,2,0.0
68,M,83837,314,5408,Entertainment,Canada,Mexico City,3,0.0
46,M,37716,518,7648,Grocery,USA,Vancouver,5,0.0
54,F,8914,899,5885,Grocery,Mexico,New York,15,0.0
62,M,62966,838,325,Gas,Canada,New York,17,0.0
45,F,31248,640,9289,Gas,Canada,Los Angeles,23,0.0
35,F,29493,882,9018,Grocery,Canada,Toronto,10,0.0
23,M,57863,650,4252,Restaurants,Mexico,Mexico City,22,0.0
22,M,32885,591,4580,Entertainment,USA,Toronto,22,0.0
42,M,77957,394,9645,Gas,Mexico,Mexico City,19,1.0
46,M,54770,408,8023,Entertainment,Canada,New York,14,0.0
39,M,11919,717,8401,Gas,USA,Los Angeles,16,0.0
40,M,8229,744,9954,Entertainment,Canada,Los Angeles,11,0.0
44,M,47256,368,4933,Grocery,USA,Toronto,1,0.0
19,M,57668,310,5198,Gas,Mexico,Los Angeles,18,0.0
35,F,58552,484,448,Gas,USA,Mexico City,2,0.0
20,F,84812,759,9108,Entertainment,Canada,New York,15,0.0
29,M,17345,637,1555,Gas,Mexico,Vancouver,12,0.0
46,F,20150,425,65,Entertainment,Mexico,Toronto,3,0.0
31,M,88547,373,8694,Grocery,Canada,New York,16,0.0
35,F,23135,646,5837,Entertainment,Mexico,New York,1,0.0
35,M,23080,713,8016,Grocery,Mexico,Mexico City,10,0.0
63,M,6818,635,2704,Entertainment,USA,Mexico City,16,0.0
68,M,73171,645,1141,Gas,Canada,Los Angeles,1,0.0
29,F,34881,516,8225,Gas,Canada,Mexico City,8,0.0
46,F,82679,379,9133,Grocery,USA,New York,12,0.0
63,F,6270,827,7971,Restaurants,USA,Los Angeles,11,0.0
27,M,41135,300,8170,Restaurants,Mexico,Vancouver,4,0.0
52,F,94282,886,2425,Entertainment,Canada,Los Angeles,4,0.0
29,M,15308,462,3382,Gas,Mexico,Mexico City,23,0.0
65,F,15244,465,6515,Gas,USA,Los Angeles,14,0.0
47,M,12136,858,9305,Entertainment,Canada,Mexico City,14,0.0
29,F,12280,464,4502,Restaurants,Mexico,Vancouver,9,0.0
56,F,11182,388,5542,Grocery,USA,Mexico City,6,0.0
63,M,57934,756,9637,Restaurants,Mexico,New York,22,0.0
34,M,70009,627,8576,Restaurants,Canada,Los Angeles,18,0.0
51,F,34450,808,7255,Restaurants,Canada,Mexico City,19,0.0
42,F,5704,828,3927,Entertainment,Canada,Vancouver,16,0.0
66,F,36556,691,9270,Gas,Canada,Mexico City,19,0.0
31,M,18001,474,2034,Gas,Canada,Mexico City,5,0.0
50,F,81807,722,769,Grocery,Mexico,Mexico City,10,0.0
38,M,23150,710,6503,Entertainment,Canada,New York,20,0.0
49,M,23784,454,9607,Restaurants,USA,Toronto,7,0.0
37,F,73358,659,8702,Grocery,Canada,New York,13,0.0
59,M,21181,864,8214,Grocery,Mexico,New York,13,0.0
68,M,35813,707,560,Entertainment,Mexico,Los Angeles,15,0.0
58,F,56876,445,354,Gas,Mexico,New York,14,0.0
45,M,34809,509,1285,Entertainment,USA,Los Angeles,19,0.0
55,M,39162,494,5049,Entertainment,Canada,New York,15,0.0
35,M,9254,845,9639,Grocery,Mexico,Los Angeles,19,0.0
34,F,38657,500,5112,Entertainment,Canada,Mexico City,1,0.0
31,M,60054,814,2158,Grocery,Canada,Vancouver,15,0.0
62,F,87120,574,3346,Restaurants,USA,Vancouver,2,0.0
29,M,94746,419,5306,Entertainment,USA,Los Angeles,22,0.0
24,M,21197,491,3446,Entertainment,Mexico,Toronto,12,0.0
35,F,63031,475,1909,Grocery,Canada,Mexico City,8,0.0
40,M,79651,838,4594,Gas,Canada,Los Angeles,5,0.0
29,F,21566,688,628,Grocery,USA,Toronto,11,0.0
28,F,95960,587,7232,Grocery,Canada,Toronto,17,0.0
69,F,22796,727,4576,Gas,Mexico,New York,8,0.0
40,F,82002,424,8579,Gas,Canada,Toronto,6,0.0
40,M,31923,436,3410,Entertainment,Mexico,Vancouver,13,0.0
49,F,1904,747,2852,Grocery,USA,Vancouver,18,0.0
43,M,39080,872,7794,Gas,Canada,Mexico City,23,0.0
28,F,84194,583,2139,Gas,Mexico,Los Angeles,5,0.0
41,F,89005,835,4830,Entertainment,Mexico,New York,0,0.0
30,M,26259,583,2288,Grocery,Mexico,Mexico City,0,0.0
57,M,62942,745,85,Gas,Mexico,Toronto,1,0.0
61,F,73695,553,2681,Entertainment,Mexico,Mexico City,7,0.0
42,M,10525,570,3643,Restaurants,Mexico,Mexico City,21,0.0
18,F,49022,716,7193,Entertainment,USA,Mexico City,2,0.0
38,M,27592,741,7823,Grocery,Canada,Los Angeles,0,0.0
42,M,29185,467,4112,Grocery,Canada,Vancouver,14,0.0
33,M,44912,592,9138,Restaurants,Canada,Mexico City,20,0.0
63,M,4599,765,7619,Restaurants,Canada,New York,23,0.0
40,M,12159,578,2747,Entertainment,Canada,Mexico City,21,0.0
47,M,27701,793,8038,Grocery,Canada,Mexico City,7,0.0
60,F,89539,422,3570,Grocery,USA,Mexico City,2,0.0
55,F,37634,691,8114,Entertainment,USA,Toronto,13,0.0
53,M,80664,588,8296,Entertainment,USA,Mexico City,19,0.0
21,F,7311,794,6057,Entertainment,Canada,Toronto,23,0.0
69,M,93970,364,2495,Entertainment,Mexico,Vancouver,0,0.0
37,M,70620,745,9884,Grocery,Canada,New York,18,0.0
30,M,90362,619,1570,Grocery,Canada,New York,0,0.0
29,M,60921,497,798,Grocery,Mexico,Los Angeles,13,0.0
57,M,76268,491,6862,Grocery,Canada,Vancouver,17,0.0
31,M,31786,465,6294,Grocery,USA,New York,7,0.0
63,M,96899,514,1762,Restaurants,Canada,Toronto,5,0.0
60,M,44193,864,7454,Restaurants,USA,New York,5,0.0
47,F,76861,770,7363,Entertainment,USA,Toronto,21,0.0
36,M,24593,756,5121,Restaurants,Mexico,New York,16,0.0
28,F,35643,326,8459,Entertainment,Mexico,Los Angeles,2,0.0
20,M,75345,518,8684,Entertainment,Canada,Los Angeles,10,0.0
19,F,39289,792,4299,Restaurants,Mexico,Los Angeles,22,0.0
51,M,40419,783,399,Restaurants,Mexico,New York,23,0.0
32,F,56345,591,4988,Grocery,USA,Toronto,22,0.0
43,M,56374,876,9598,Grocery,Mexico,Mexico City,10,0.0
36,F,59205,727,8161,Gas,Mexico,New York,0,0.0
68,F,98676,350,6538,Restaurants,Canada,Vancouver,16,0.0
54,F,1121,368,6300,Restaurants,USA,Vancouver,13,0.0
55,F,65958,427,8632,Restaurants,Mexico,Mexico City,22,0.0
18,F,71475,586,5183,Gas,USA,Mexico City,9,0.0
27,M,81812,523,2348,Gas,Canada,Mexico City,9,0.0
38,M,76720,825,5705,Grocery,Mexico,Los Angeles,11,0.0
49,M,82677,440,8559,Restaurants,USA,Los Angeles,21,0.0
52,F,75198,665,7498,Entertainment,Canada,Los Angeles,6,0.0
21,F,37859,646,1534,Grocery,USA,Mexico City,7,0.0
24,F,89006,513,7215,Entertainment,USA,Mexico City,17,0.0
55,M,69420,529,6962,Gas,USA,Toronto,17,0.0
32,F,4669,375,954,Grocery,USA,Los Angeles,21,0.0
66,F,49035,497,5139,Restaurants,Canada,Mexico City,7,0.0
34,F,22293,352,5415,Restaurants,Canada,New York,4,0.0
33,F,53302,866,5195,Restaurants,USA,Toronto,15,0.0
68,M,15542,696,4127,Restaurants,Canada,Vancouver,17,0.0
47,F,85676,786,4155,Gas,USA,Mexico City,9,0.0
30,F,58103,849,2437,Gas,Canada,Toronto,20,0.0
53,M,4384,481,2182,Grocery,Canada,New York,14,0.0
29,M,20456,439,7534,Entertainment,USA,Mexico City,5,0.0
19,F,2410,483,7928,Restaurants,USA,New York,18,0.0
32,M,85733,806,2359,Gas,Mexico,New York,15,0.0
53,F,59687,656,8680,Restaurants,Mexico,Vancouver,9,0.0
55,M,36366,824,5324,Gas,Mexico,New York,2,0.0
45,M,15918,493,6391,Restaurants,USA,Toronto,1,0.0
48,F,90137,825,9214,Entertainment,Mexico,Los Angeles,13,0.0
69,F,74666,432,4740,Grocery,Canada,New York,21,0.0
26,F,1054,404,2939,Entertainment,USA,Los Angeles,23,0.0
54,M,83568,499,9245,Gas,Canada,New York,22,0.0
36,F,49076,788,7643,Entertainment,Canada,New York,17,0.0
64,M,35215,603,6138,Gas,USA,Toronto,15,0.0
51,F,92418,666,1192,Entertainment,Mexico,New York,16,0.0
25,F,3025,818,6160,Entertainment,USA,Los Angeles,14,0.0
63,F,95909,597,520,Restaurants,Canada,New York,7,0.0
55,M,67034,694,3932,Gas,USA,New York,21,0.0
57,M,68641,361,9713,Gas,USA,Vancouver,5,0.0
27,F,84724,541,3617,Grocery,Canada,Mexico City,16,0.0
30,F,77770,797,7739,Entertainment,USA,Vancouver,17,0.0
57,F,70718,341,4303,Entertainment,USA,New York,3,0.0
62,F,33002,369,4284,Grocery,Mexico,Vancouver,18,0.0
32,F,2397,655,5265,Entertainment,Mexico,New York,8,0.0
44,F,59222,594,4346,Gas,USA,Mexico City,18,0.0
68,M,93854,707,2607,Gas,Canada,Vancouver,3,0.0
36,F,85146,535,7002,Grocery,USA,Mexico City,6,0.0
48,M,30916,331,6316,Grocery,Mexico,New York,11,0.0
39,M,72119,706,9821,Restaurants,USA,Vancouver,19,0.0
67,F,78359,654,1465,Restaurants,Mexico,Los Angeles,23,0.0
37,F,68446,379,6695,Grocery,Canada,Los Angeles,8,0.0
59,M,3911,357,7477,Restaurants,Canada,Los Angeles,13,0.0
61,M,26354,513,4364,Gas,USA,New York,19,0.0
69,M,70320,630,6319,Gas,Canada,New York,4,0.0
52,F,64709,755,4087,Grocery,USA,Toronto,23,0.0
27,M,44901,312,1279,Entertainment,Canada,Mexico City,14,0.0
31,M,12963,895,4193,Gas,Mexico,Mexico City,23,0.0
62,F,92797,608,2614,Grocery,USA,Los Angeles,0,0.0
69,F,85324,865,9805,Gas,USA,Vancouver,17,0.0
43,M,16533,369,3978,Entertainment,USA,New York,19,0.0
22,M,9820,801,7611,Entertainment,Canada,Vancouver,16,0.0
56,M,63051,684,9589,Entertainment,USA,Los Angeles,6,0.0
33,F,66239,643,7577,Entertainment,Mexico,Los Angeles,6,0.0
61,M,44072,381,1680,Restaurants,USA,Toronto,21,0.0
56,M,27256,348,1314,Entertainment,Mexico,Los Angeles,6,0.0
49,F,90637,490,3947,Entertainment,Mexico,Vancouver,13,0.0
36,F,30928,842,8256,Restaurants,USA,Los Angeles,6,0.0
67,F,35534,423,2330,Grocery,USA,New York,16,0.0
69,M,54706,383,9430,Grocery,Canada,Toronto,23,0.0
43,F,8770,703,5309,Grocery,Mexico,Los Angeles,0,0.0
33,F,47852,842,3471,Gas,USA,Mexico City,3,0.0
32,F,62133,708,5210,Gas,Mexico,Mexico City,23,0.0
55,F,85712,521,3225,Gas,USA,Mexico City,11,0.0
22,F,11223,544,998,Entertainment,Canada,New York,1,0.0
57,F,19847,603,25,Grocery,USA,Mexico City,19,0.0
65,M,37474,592,8568,Restaurants,USA,Los Angeles,13,0.0
29,F,85923,594,5337,Restaurants,USA,Vancouver,11,0.0
67,F,80062,392,1972,Entertainment,Mexico,Vancouver,8,0.0
18,F,99474,318,2033,Entertainment,Mexico,Toronto,18,0.0
65,M,74803,680,5836,Entertainment,USA,Los Angeles,22,0.0
43,F,25723,438,9050,Grocery,USA,Los Angeles,6,0.0
42,M,22454,353,3756,Entertainment,USA,Toronto,19,0.0
65,F,71248,518,6289,Restaurants,Mexico,Vancouver,18,0.0
33,F,8687,569,4634,Gas,Canada,New York,5,0.0
59,F,22493,572,922,Entertainment,Mexico,Los Angeles,4,0.0
36,F,48775,840,5953,Grocery,USA,Vancouver,17,0.0
63,M,50181,463,5068,Restaurants,Canada,Mexico City,3,0.0
54,M,48100,427,3237,Gas,USA,Toronto,18,0.0
67,M,35727,729,387,Grocery,USA,Vancouver,23,0.0
50,M,36992,857,5157,Gas,USA,New York,20,0.0
54,F,59593,820,2186,Grocery,Mexico,New York,16,0.0
67,M,79829,771,8820,Grocery,Mexico,Los Angeles,10,0.0
42,M,25954,366,6254,Entertainment,Mexico,Los Angeles,16,0.0
22,M,47354,504,970,Restaurants,Canada,Mexico City,7,0.0
44,F,96711,423,7475,Restaurants,Mexico,Los Angeles,6,0.0
20,M,93384,606,9638,Gas,Mexico,Toronto,6,0.0
43,F,71723,695,6572,Entertainment,USA,Vancouver,5,0.0
40,F,24574,558,3523,Restaurants,Canada,Vancouver,14,0.0
20,F,38166,432,4742,Grocery,USA,Toronto,6,0.0
38,F,97684,869,1177,Gas,Mexico,Toronto,3,0.0
50,F,45171,670,6003,Grocery,USA,Los Angeles,14,0.0
36,F,47248,524,1275,Entertainment,Canada,Vancouver,3,0.0
39,M,44541,416,1940,Restaurants,Mexico,New York,19,0.0
67,M,54097,330,5662,Restaurants,Mexico,Mexico City,4,0.0
69,M,59511,670,2462,Grocery,Mexico,Toronto,2,0.0
56,F,71086,423,9976,Restaurants,Canada,Toronto,14,0.0
60,F,24577,358,1604,Gas,Canada,Mexico City,18,0.0
24,M,86314,338,9974,Grocery,Mexico,Mexico City,12,0.0
57,F,36812,338,4717,Entertainment,USA,Vancouver,9,0.0
37,M,96681,896,8943,Grocery,Mexico,New York,0,0.0
31,M,10405,632,5379,Grocery,USA,Vancouver,4,0.0
34,M,95105,389,5950,Restaurants,USA,Toronto,2,0.0
44,F,5384,422,8644,Gas,Canada,Los Angeles,6,0.0
34,F,15144,441,5180,Grocery,Mexico,Los Angeles,0,0.0
24,M,42957,310,1667,Restaurants,Mexico,Mexico City,16,0.0
63,F,66174,861,7468,Gas,Mexico,Vancouver,14,0.0
46,M,41556,664,1756,Entertainment,Canada,Vancouver,9,0.0
35,F,58274,640,7721,Grocery,Canada,Mexico City,6,0.0
41,F,57178,397,3740,Restaurants,USA,Toronto,7,0.0
46,F,61959,573,5852,Grocery,Canada,Toronto,16,0.0
47,F,51064,428,5543,Entertainment,USA,New York,11,0.0
67,M,90538,435,9474,Restaurants,Canada,Toronto,23,0.0
27,M,95985,370,6336,Restaurants,Canada,Mexico City,23,0.0
38,M,5951,518,4052,Entertainment,USA,Toronto,4,0.0
25,F,39034,536,3291,Gas,USA,Mexico City,4,0.0
29,M,57135,326,6593,Restaurants,Canada,Vancouver,9,0.0
36,F,17492,827,7942,Gas,USA,Los Angeles,6,0.0
44,F,21907,385,4536,Gas,USA,Vancouver,20,0.0
69,F,91137,481,5214,Restaurants,USA,Toronto,1,0.0
21,F,95973,413,4522,Grocery,Canada,New York,21,0.0
65,M,41116,514,559,Gas,USA,Vancouver,7,0.0
54,F,9942,668,6460,Gas,Mexico,New York,20,0.0
61,F,53369,533,3639,Gas,Canada,New York,22,0.0
45,M,39920,540,6872,Grocery,USA,Mexico City,11,0.0
37,M,48103,351,8591,Gas,USA,Vancouver,6,0.0
